Rank,Top%
Herald 1,100
Herald 2,99.94
Herald 3,98.71
Herald 4,97.27
Herald 5,95.41
Guardian 1,93.26
Guardian 2,90.8
Guardian 3,88.07
Guardian 4,85.05
Guardian 5,81.74
Crusader 1,78.17
Crusader 2,74.22
Crusader 3,70.08
Crusader 4,65.77
Crusader 5,61.31
Archon 1,56.8
Archon 2,52.12
Archon 3,47.54
Archon 4,43.08
Archon 5,38.82
Legend 1,34.75
Legend 2,30.69
Legend 3,27.03
Legend 4,23.72
Legend 5,20.72
Ancient 1,18.02
Ancient 2,15.37
Ancient 3,13.12
Ancient 4,11.22
Ancient 5,9.62
Divine 1,8.21
Divine 2,6.58
Divine 3,5.26
Divine 4,4.22
Divine 5,3.42
Immortal,2.71
