Rank,Top%
Copper 5,100.5
Copper 4,100.2
Copper 3,99.7
Copper 2,98.7
Copper 1,97.4
Bronze 5,95.8
Bronze 4,94
Bronze 3,92
Bronze 2,89.7
Bronze 1,87.3
Silver 5,84.6
Silver 4,81.7
Silver 3,78.8
Silver 2,75.6
Silver 1,72.3
Gold 5,68.8
Gold 4,65.1
Gold 3,61.4
Gold 2,57.7
Gold 1,53.9
Platinum 5,50.2
Platinum 4,46.3
Platinum 3,42.6
Platinum 2,39
Platinum 1,35.6
Emerald 5,32.1
Emerald 4,28.2
Emerald 3,24.5
Emerald 2,21
Emerald 1,17.7
Diamond 5,14.8
Diamond 4,12.6
Diamond 3,10.4
Diamond 2,8
Diamond 1,5.3
Champion,2.8
