Rank,Top%
Iron IV,98.828
Iron III,98.807
Iron II,98.457
Iron I,97.467
Bronze IV,96.367
Bronze III,94.267
Bronze II,91.267
Bronze I,87.167
Silver IV,82.967
Silver III,75.967
Silver II,68.867
Silver I,61.767
Gold IV,56.667
Gold III,46.767
Gold II,39.367
Gold I,33.567
Platinum IV,30.367
Platinum III,20.967
Platinum II,16.067
Platinum I,13.067
Emerald IV,11.867
Emerald III,7.367
Emerald II,5.467
Emerald I,4.467
Diamond IV,4.087
Diamond III,2.387
Diamond II,1.797
Diamond I,1.487
Master,1.377
GrandMaster,0.077
Challenger,0.026
